"Six Digit Industries","Year","Capital productivity (2007=100)","Capital productivity (percent change)","Capital (2007=100)","Capital (percent change)","Capital costs (Million $)","Capital costs (percent change)","Capital cost share","Capital cost share (percent change)","Capital intensity (2007=100)","Capital intensity (percent change)","Contribution of capital intensity (2007=100)","Contribution of capital intensity (percent change)","Labor productivity (2007=100)","Labor productivity (percent change)","Hours worked (2007=100)","Hours worked (percent change)","Labor compensation (Million $)","Labor compensation (percent change)","Labor cost share","Labor cost share (percent change)","Hours worked (millions)","Hours worked (percent change)","Multifactor productivity (2007=100)","Multifactor productivity (percent change)","Combined inputs (2007=100)","Combined inputs (percent change)","Combined inputs costs (Million $)","Combined inputs costs (percent change)","Implicit combined inputs deflator (2007=100)","Implicit combined inputs deflator (percent change)","Intermediate purchases productivity (2007=100)","Intermediate purchases productivity (percent change)","Intermediate purchases (2007=100)","Intermediate purchases (percent change)","Intermediate purchases costs (Million $)","Intermediate purchases costs (percent change)","Intermediate purchases cost share","Intermediate purchases cost share (percent change)","Intermediate purchases to hours ratio (2007=100)","Intermediate purchases to hours ratio (percent change)","Contribution of intermediate purchases intensity (2007=100)","Contribution of intermediate purchases intensity (percent change)","Output (2007=100)","Output (percent change)","Implicit output deflator (2007=100)","Implicit output deflator (percent change)","Value of production (Million $)","Value of production (percent change)","Unit labor costs (2007=100)","Unit labor costs (percent change)","Labor compensation (2007=100)","Labor compensation (percent change)","Hourly compensation (2007=100)","Hourly compensation (percent change)","Output per employee (2007=100)","Output per employee (percent change)","Employment (2007=100)","Employment (percent change)","Employment (thousands)","Employment (percent change)"
336350 - Motor vehicle transmission and power train parts manufacturing,2005,,,,,,,,,,,,,101.154,2.3,100.558,-4.2,7339.078,-12.2,,,178.500,-4.2,,,,,,,,,,,,,,,,,,,,,101.718,-2.0,95.679,0.5,34357.654,-1.5,110.502,-10.4,112.401,-12.2,111.777,-8.3,91.690,-1.1,110.938,-0.9,85.200,-0.9
336350 - Motor vehicle transmission and power train parts manufacturing,2006,,,,,,,,,,,,,104.643,3.4,95.372,-5.2,6979.920,-4.9,,,169.294,-5.2,,,,,,,,,,,,,,,,,,,,,99.800,-1.9,97.196,1.6,34244.166,-0.3,107.115,-3.1,106.900,-4.9,112.088,0.3,93.471,1.9,106.771,-3.8,82.000,-3.8
336350 - Motor vehicle transmission and power train parts manufacturing,2007,,,,,,,,,,,,,100.000,-4.4,100.000,4.9,6529.389,-6.5,,,177.509,4.9,,,,,,,,,,,,,,,,,,,,,100.000,0.2,100.000,2.9,35302.663,3.1,100.000,-6.6,100.000,-6.5,100.000,-10.8,100.000,7.0,100.000,-6.3,76.800,-6.3
336350 - Motor vehicle transmission and power train parts manufacturing,2008,,,,,,,,,,,,,84.552,-15.4,87.480,-12.5,5523.949,-15.4,,,155.285,-12.5,,,,,,,,,,,,,,,,,,,,,73.965,-26.0,102.132,2.1,26668.386,-24.5,114.380,14.4,84.601,-15.4,96.710,-3.3,80.575,-19.4,91.797,-8.2,70.500,-8.2
336350 - Motor vehicle transmission and power train parts manufacturing,2009,,,,,,,,,,,,,93.514,10.6,64.254,-26.6,4004.711,-27.5,,,114.056,-26.6,,,,,,,,,,,,,,,,,,,,,60.086,-18.8,105.946,3.7,22473.321,-15.7,102.076,-10.8,61.334,-27.5,95.455,-1.3,86.741,7.7,69.271,-24.5,53.200,-24.5
336350 - Motor vehicle transmission and power train parts manufacturing,2010,,,,,,,,,,,,,108.471,16.0,73.771,14.8,4213.111,5.2,,,130.951,14.8,,,,,,,,,,,,,,,,,,,,,80.020,33.2,105.713,-0.2,29863.220,32.9,80.636,-21.0,64.525,5.2,87.467,-8.4,111.535,28.6,71.745,3.6,55.100,3.6
336350 - Motor vehicle transmission and power train parts manufacturing,2011,,,,,,,,,,,,,106.815,-1.5,79.326,7.5,4476.249,6.2,,,140.812,7.5,,,,,,,,,,,,,,,,,,,,,84.732,5.9,106.484,0.7,31852.475,6.7,80.908,0.3,68.555,6.2,86.422,-1.2,109.553,-1.8,77.344,7.8,59.400,7.8
336350 - Motor vehicle transmission and power train parts manufacturing,2012,,,,,,,,,,,,,107.648,0.8,82.345,3.8,5007.752,11.9,,,146.170,3.8,,,,,,,,,,,,,,,,,,,,,88.643,4.6,108.740,2.1,34028.286,6.8,86.522,6.9,76.696,11.9,93.140,7.8,108.060,-1.4,82.031,6.1,63.000,6.1
336350 - Motor vehicle transmission and power train parts manufacturing,2013,,,,,,,,,,,,,101.655,-5.6,87.894,6.7,5388.904,7.6,,,156.021,6.7,,,,,,,,,,,,,,,,,,,,,89.349,0.8,110.101,1.3,34728.898,2.1,92.371,6.8,82.533,7.6,93.900,0.8,100.764,-6.8,88.672,8.1,68.100,8.1
336350 - Motor vehicle transmission and power train parts manufacturing,2014,,,,,,,,,,,,,97.209,-4.4,96.641,10.0,5441.617,1.0,,,171.547,10.0,,,,,,,,,,,,,,,,,,,,,93.944,5.1,111.538,1.3,36991.065,6.5,88.713,-4.0,83.340,1.0,86.237,-8.2,96.456,-4.3,97.396,9.8,74.800,9.8
336350 - Motor vehicle transmission and power train parts manufacturing,2015,,,,,,,,,,,,,89.790,-7.6,102.762,6.3,5713.301,5.0,,,182.412,6.3,,,,,,,,,,,,,,,,,,,,,92.270,-1.8,112.285,0.7,36575.444,-1.1,94.832,6.9,87.501,5.0,85.150,-1.3,88.579,-8.2,104.167,7.0,80.000,7.0
336350 - Motor vehicle transmission and power train parts manufacturing,2016,,,,,,,,,,,,,85.786,-4.5,108.631,5.7,5984.868,4.8,,,192.831,5.7,,,,,,,,,,,,,,,,,,,,,93.190,1.0,112.298,0.0,36944.510,1.0,98.359,3.7,91.660,4.8,84.377,-0.9,89.574,1.1,104.036,-0.1,79.900,-0.1
336350 - Motor vehicle transmission and power train parts manufacturing,2017,,,,,,,,,,,,,98.801,15.2,102.677,-5.5,6377.146,6.6,,,182.261,-5.5,,,,,,,,,,,,,,,,,,,,,101.446,8.9,110.738,-1.4,39658.616,7.3,96.277,-2.1,97.668,6.6,95.122,12.7,95.595,6.7,106.120,2.0,81.500,2.0
336350 - Motor vehicle transmission and power train parts manufacturing,2018,,,,,,,,,,,,,101.946,3.2,104.003,1.3,6778.775,6.3,,,184.615,1.3,,,,,,,,,,,,,,,,,,,,,106.026,4.5,111.458,0.7,41719.065,5.2,97.918,1.7,103.819,6.3,99.823,4.9,96.365,0.8,110.026,3.7,84.500,3.7
336350 - Motor vehicle transmission and power train parts manufacturing,2019,,,,,,,,,,,,,100.473,-1.4,103.849,-0.1,6960.526,2.7,,,184.341,-0.1,,,,,,,,,,,,,,,,,,,,,104.340,-1.6,111.514,0.1,41075.907,-1.5,102.169,4.3,106.603,2.7,102.652,2.8,97.014,0.7,107.552,-2.2,82.600,-2.2
336350 - Motor vehicle transmission and power train parts manufacturing,2020,,,,,,,,,,,,,,,91.052,-12.3,,,,,161.626,-12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.172,-5.9,77.700,-5.9
336370 - Motor vehicle metal stamping,1987,,,,,,,,,,,,,,,,,5233.223,,,,,,,,,,,,,,,,,,,,,,,,,,58.488,,88.704,,15163.803,,127.841,,74.772,,,,,,,,,
336370 - Motor vehicle metal stamping,1988,,,,,,,,,,,,,,,,,5479.890,4.7,,,,,,,,,,,,,,,,,,,,,,,,,59.754,2.2,89.946,1.4,15708.754,3.6,131.032,2.5,78.296,4.7,,,,,,,,
336370 - Motor vehicle metal stamping,1989,,,,,,,,,,,,,,,,,5613.726,2.4,,,,,,,,,,,,,,,,,,,,,,,,,58.070,-2.8,91.478,1.7,15526.040,-1.2,138.124,5.4,80.208,2.4,,,,,,,,
336370 - Motor vehicle metal stamping,1990,,,,,,,,,,,,,,,,,5372.661,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,51.884,-10.7,93.194,1.9,14132.424,-9.0,147.953,7.1,76.764,-4.3,,,,,,,,
336370 - Motor vehicle metal stamping,1991,,,,,,,,,,,,,,,,,5292.139,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,47.344,-8.8,92.574,-0.7,12809.988,-9.4,159.712,7.9,75.614,-1.5,,,,,,,,
336370 - Motor vehicle metal stamping,1992,,,,,,,,,,,,,,,,,5776.571,9.2,,,,,,,,,,,,,,,,,,,,,,,,,58.170,22.9,92.433,-0.2,15715.344,22.7,141.885,-11.2,82.535,9.2,,,,,,,,
336370 - Motor vehicle metal stamping,1993,,,,,,,,,,,,,,,,,6085.054,5.3,,,,,,,,,,,,,,,,,,,,,,,,,65.393,12.4,92.343,-0.1,17649.436,12.3,132.955,-6.3,86.943,5.3,,,,,,,,
336370 - Motor vehicle metal stamping,1994,,,,,,,,,,,,,,,,,6651.708,9.3,,,,,,,,,,,,,,,,,,,,,,,,,72.360,10.7,92.753,0.4,19616.744,11.1,131.341,-1.2,95.039,9.3,,,,,,,,
336370 - Motor vehicle metal stamping,1995,,,,,,,,,,,,,,,,,6800.349,2.2,,,,,,,,,,,,,,,,,,,,,,,,,75.778,4.7,92.613,-0.2,20512.271,4.6,128.220,-2.4,97.163,2.2,,,,,,,,
336370 - Motor vehicle metal stamping,1996,,,,,,,,,,,,,,,,,6743.833,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,78.645,3.8,93.239,0.7,21432.027,4.5,122.519,-4.4,96.355,-0.8,,,,,,,,
336370 - Motor vehicle metal stamping,1997,,,,,,,,,,,,,,,,,7574.059,12.3,,,,,,,,,,,,,,,,,,,,,,,,,84.921,8.0,93.479,0.3,23202.040,8.3,127.433,4.0,108.217,12.3,,,,,,,,
336370 - Motor vehicle metal stamping,1998,,,,,,,,,,,,,,,,,7019.709,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,87.335,2.8,93.159,-0.3,23779.893,2.5,114.842,-9.9,100.297,-7.3,,,,,,,,
336370 - Motor vehicle metal stamping,1999,,,,,,,,,,,,,,,,,7479.233,6.5,,,,,,,,,,,,,,,,,,,,,,,,,90.344,3.4,92.498,-0.7,24424.617,2.7,118.284,3.0,106.863,6.5,,,,,,,,
336370 - Motor vehicle metal stamping,2000,,,,,,,,,,,,,,,,,7818.926,4.5,,,,,,,,,,,,,,,,,,,,,,,,,87.291,-3.4,92.687,0.2,23647.331,-3.2,127.981,8.2,111.716,4.5,,,,,,,,
336370 - Motor vehicle metal stamping,2001,,,,,,,,,,,,,,,,,7254.872,-7.2,,,,,,,,,,,,,,,,,,,,,,,,,79.584,-8.8,92.240,-0.5,21455.749,-9.3,130.248,1.8,103.657,-7.2,,,,,,,,
336370 - Motor vehicle metal stamping,2002,,,,,,,,,,,,,,,,,7624.390,5.1,,,,,,,,,,,,,,,,,,,,,,,,,94.417,18.6,92.236,0.0,25453.430,18.6,115.379,-11.4,108.937,5.1,,,,,,,,
336370 - Motor vehicle metal stamping,2003,,,,,,,,,,,,,,,,,7842.549,2.9,,,,,,,,,,,,,,,,,,,,,,,,,92.869,-1.6,94.031,1.9,25523.436,0.3,120.657,4.6,112.054,2.9,,,,,,,,
336370 - Motor vehicle metal stamping,2004,,,,,,,,,,,,,,,,,7970.189,1.6,,,,,,,,,,,,,,,,,,,,,,,,,92.714,-0.2,96.345,2.5,26107.778,2.3,122.827,1.8,113.877,1.6,,,,,,,,
336370 - Motor vehicle metal stamping,2005,,,,,,,,,,,,,,,,,7468.132,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,92.200,-0.6,98.203,1.9,26463.690,1.4,115.731,-5.8,106.704,-6.3,,,,,,,,
336370 - Motor vehicle metal stamping,2006,,,,,,,,,,,,,,,,,6812.331,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,89.223,-3.2,98.680,0.5,25733.770,-2.8,109.090,-5.7,97.334,-8.8,,,,,,,,
336370 - Motor vehicle metal stamping,2007,,,,,,,,,,,,,,,,,6998.928,2.7,,,,,,,,,,,,,,,,,,,,,,,,,100.000,12.1,100.000,1.3,29227.808,13.6,100.000,-8.3,100.000,2.7,,,,,,,,
336370 - Motor vehicle metal stamping,2008,,,,,,,,,,,,,,,,,5758.583,-17.7,,,,,,,,,,,,,,,,,,,,,,,,,79.809,-20.2,103.339,3.3,24105.268,-17.5,103.094,3.1,82.278,-17.7,,,,,,,,
336370 - Motor vehicle metal stamping,2009,,,,,,,,,,,,,,,,,4167.968,-27.6,,,,,,,,,,,,,,,,,,,,,,,,,56.093,-29.7,106.225,2.8,17415.329,-27.8,106.166,3.0,59.552,-27.6,,,,,,,,
336370 - Motor vehicle metal stamping,2010,,,,,,,,,,,,,,,,,4727.808,13.4,,,,,,,,,,,,,,,,,,,,,,,,,80.601,43.7,104.495,-1.6,24616.968,41.4,83.808,-21.1,67.550,13.4,,,,,,,,
336370 - Motor vehicle metal stamping,2011,,,,,,,,,,,,,,,,,5192.648,9.8,,,,,,,,,,,,,,,,,,,,,,,,,89.987,11.6,104.128,-0.4,27386.918,11.3,82.448,-1.6,74.192,9.8,,,,,,,,
336370 - Motor vehicle metal stamping,2012,,,,,,,,,,,,,,,,,5776.614,11.2,,,,,,,,,,,,,,,,,,,,,,,,,95.172,5.8,104.169,0.0,28976.524,5.8,86.722,5.2,82.536,11.2,,,,,,,,
336370 - Motor vehicle metal stamping,2013,,,,,,,,,,,,,,,,,6114.579,5.9,,,,,,,,,,,,,,,,,,,,,,,,,100.813,5.9,103.965,-0.2,30633.519,5.7,86.660,-0.1,87.365,5.9,,,,,,,,
336370 - Motor vehicle metal stamping,2014,,,,,,,,,,,,,,,,,6420.097,5.0,,,,,,,,,,,,,,,,,,,,,,,,,110.800,9.9,103.580,-0.4,33543.590,9.5,82.789,-4.5,91.730,5.0,,,,,,,,
336370 - Motor vehicle metal stamping,2015,,,,,,,,,,,,,,,,,7116.190,10.8,,,,,,,,,,,,,,,,,,,,,,,,,118.687,7.1,102.775,-0.8,35652.026,6.3,85.667,3.5,101.675,10.8,,,,,,,,
336370 - Motor vehicle metal stamping,2016,,,,,,,,,,,,,,,,,7462.665,4.9,,,,,,,,,,,,,,,,,,,,,,,,,125.940,6.1,98.761,-3.9,36353.643,2.0,84.664,-1.2,106.626,4.9,,,,,,,,
336370 - Motor vehicle metal stamping,2017,,,,,,,,,,,,,,,,,7625.630,2.2,,,,,,,,,,,,,,,,,,,,,,,,,128.275,1.9,97.093,-1.7,36402.037,0.1,84.938,0.3,108.954,2.2,,,,,,,,
336370 - Motor vehicle metal stamping,2018,,,,,,,,,,,,,,,,,7931.780,4.0,,,,,,,,,,,,,,,,,,,,,,,,,132.686,3.4,98.034,1.0,38018.733,4.4,85.411,0.6,113.329,4.0,,,,,,,,
336370 - Motor vehicle metal stamping,2019,,,,,,,,,,,,,,,,,7856.063,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,124.175,-6.4,100.162,2.2,36352.452,-4.4,90.394,5.8,112.247,-1.0,,,,,,,,
336390 - Other motor vehicle parts,1987,,,,,,,,,,,,,,,,,5325.960,,,,,,,,,,,,,,,,,,,,,,,,,,48.569,,89.328,,20373.074,,133.150,,64.670,,,,,,,,,
336390 - Other motor vehicle parts,1988,,,,,,,,,,,,,,,,,5823.911,9.3,,,,,,,,,,,,,,,,,,,,,,,,,53.405,10.0,90.954,1.8,22809.289,12.0,132.416,-0.6,70.716,9.3,,,,,,,,
336390 - Other motor vehicle parts,1989,,,,,,,,,,,,,,,,,6012.445,3.2,,,,,,,,,,,,,,,,,,,,,,,,,51.828,-3.0,92.895,2.1,22608.154,-0.9,140.861,6.4,73.006,3.2,,,,,,,,
336390 - Other motor vehicle parts,1990,,,,,,,,,,,,,,,,,5966.312,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,48.820,-5.8,94.354,1.6,21630.376,-4.3,148.395,5.3,72.446,-0.8,,,,,,,,
336390 - Other motor vehicle parts,1991,,,,,,,,,,,,,,,,,5990.829,0.4,,,,,,,,,,,,,,,,,,,,,,,,,46.767,-4.2,95.841,1.6,21047.515,-2.7,155.544,4.8,72.743,0.4,,,,,,,,
336390 - Other motor vehicle parts,1992,,,,,,,,,,,,,,,,,6446.951,7.6,,,,,,,,,,,,,,,,,,,,,,,,,53.180,13.7,96.554,0.7,24111.568,14.6,147.202,-5.4,78.282,7.6,,,,,,,,
336390 - Other motor vehicle parts,1993,,,,,,,,,,,,,,,,,6995.739,8.5,,,,,,,,,,,,,,,,,,,,,,,,,60.228,13.3,97.309,0.8,27520.949,14.1,141.039,-4.2,84.945,8.5,,,,,,,,
336390 - Other motor vehicle parts,1994,,,,,,,,,,,,,,,,,7878.362,12.6,,,,,,,,,,,,,,,,,,,,,,,,,70.423,16.9,98.046,0.8,32422.864,17.8,135.840,-3.7,95.662,12.6,,,,,,,,
336390 - Other motor vehicle parts,1995,,,,,,,,,,,,,,,,,8269.838,5.0,,,,,,,,,,,,,,,,,,,,,,,,,74.170,5.3,99.879,1.9,34786.407,7.3,135.386,-0.3,100.416,5.0,,,,,,,,
336390 - Other motor vehicle parts,1996,,,,,,,,,,,,,,,,,8187.380,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,76.138,2.7,100.517,0.6,35937.718,3.3,130.571,-3.6,99.415,-1.0,,,,,,,,
336390 - Other motor vehicle parts,1997,,,,,,,,,,,,,,,,,8944.715,9.3,,,,,,,,,,,,,,,,,,,,,,,,,84.650,11.2,100.096,-0.4,39788.119,10.7,128.305,-1.7,108.611,9.3,,,,,,,,
336390 - Other motor vehicle parts,1998,,,,,,,,,,,,,,,,,9237.521,3.3,,,,,,,,,,,,,,,,,,,,,,,,,90.337,6.7,99.332,-0.8,42136.949,5.9,124.164,-3.2,112.166,3.3,,,,,,,,
336390 - Other motor vehicle parts,1999,,,,,,,,,,,,,,,,,9706.452,5.1,,,,,,,,,,,,,,,,,,,,,,,,,97.630,8.1,98.915,-0.4,45347.206,7.6,120.721,-2.8,117.860,5.1,,,,,,,,
336390 - Other motor vehicle parts,2000,,,,,,,,,,,,,,,,,10068.108,3.7,,,,,,,,,,,,,,,,,,,,,,,,,101.575,4.0,98.609,-0.3,47034.165,3.7,120.355,-0.3,122.251,3.7,,,,,,,,
336390 - Other motor vehicle parts,2001,,,,,,,,,,,,,,,,,9311.674,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,89.178,-12.2,98.548,-0.1,41267.866,-12.3,126.787,5.3,113.066,-7.5,,,,,,,,
336390 - Other motor vehicle parts,2002,,,,,,,,,,,,,,,,,8296.217,-10.9,,,,,,,,,,,,,,,,,,,,,,,,,89.337,0.2,97.657,-0.9,40967.965,-0.7,112.760,-11.1,100.736,-10.9,,,,,,,,
336390 - Other motor vehicle parts,2003,,,,,,,,,,,,,,,,,8331.453,0.4,,,,,,,,,,,,,,,,,,,,,,,,,89.840,0.6,96.883,-0.8,40871.907,-0.2,112.604,-0.1,101.164,0.4,,,,,,,,
336390 - Other motor vehicle parts,2004,,,,,,,,,,,,,,,,,8595.400,3.2,,,,,,,,,,,,,,,,,,,,,,,,,89.815,0.0,97.257,0.4,41018.587,0.4,116.204,3.2,104.369,3.2,,,,,,,,
336390 - Other motor vehicle parts,2005,,,,,,,,,,,,,,,,,8589.386,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,93.385,4.0,98.196,1.0,43060.136,5.0,111.684,-3.9,104.296,-0.1,,,,,,,,
336390 - Other motor vehicle parts,2006,,,,,,,,,,,,,,,,,8021.097,-6.6,,,,,,,,,,,,,,,,,,,,,,,,,93.790,0.4,98.489,0.3,43376.556,0.7,103.844,-7.0,97.396,-6.6,,,,,,,,
336390 - Other motor vehicle parts,2007,,,,,,,,,,,,,,,,,8235.583,2.7,,,,,,,,,,,,,,,,,,,,,,,,,100.000,6.6,100.000,1.5,46957.810,8.3,100.000,-3.7,100.000,2.7,,,,,,,,
336390 - Other motor vehicle parts,2008,,,,,,,,,,,,,,,,,7679.745,-6.7,,,,,,,,,,,,,,,,,,,,,,,,,89.133,-10.9,103.049,3.0,43130.937,-8.1,104.620,4.6,93.251,-6.7,,,,,,,,
336390 - Other motor vehicle parts,2009,,,,,,,,,,,,,,,,,5638.486,-26.6,,,,,,,,,,,,,,,,,,,,,,,,,64.724,-27.4,104.025,0.9,31616.320,-26.7,105.780,1.1,68.465,-26.6,,,,,,,,
336390 - Other motor vehicle parts,2010,,,,,,,,,,,,,,,,,5967.273,5.8,,,,,,,,,,,,,,,,,,,,,,,,,81.617,26.1,106.578,2.5,40847.032,29.2,88.777,-16.1,72.457,5.8,,,,,,,,
336390 - Other motor vehicle parts,2011,,,,,,,,,,,,,,,,,6491.523,8.8,,,,,,,,,,,,,,,,,,,,,,,,,89.315,9.4,108.659,2.0,45571.646,11.6,88.253,-0.6,78.823,8.8,,,,,,,,
336390 - Other motor vehicle parts,2012,,,,,,,,,,,,,,,,,7196.741,10.9,,,,,,,,,,,,,,,,,,,,,,,,,105.000,17.6,109.648,0.9,54062.528,18.6,83.225,-5.7,87.386,10.9,,,,,,,,
336390 - Other motor vehicle parts,2013,,,,,,,,,,,,,,,,,7754.418,7.7,,,,,,,,,,,,,,,,,,,,,,,,,108.938,3.8,109.282,-0.3,55902.984,3.4,86.432,3.9,94.157,7.7,,,,,,,,
336390 - Other motor vehicle parts,2014,,,,,,,,,,,,,,,,,8277.984,6.8,,,,,,,,,,,,,,,,,,,,,,,,,121.384,11.4,108.344,-0.9,61755.166,10.5,82.808,-4.2,100.515,6.8,,,,,,,,
336390 - Other motor vehicle parts,2015,,,,,,,,,,,,,,,,,8725.470,5.4,,,,,,,,,,,,,,,,,,,,,,,,,128.113,5.5,107.823,-0.5,64865.073,5.0,82.699,-0.1,105.948,5.4,,,,,,,,
336390 - Other motor vehicle parts,2016,,,,,,,,,,,,,,,,,8933.794,2.4,,,,,,,,,,,,,,,,,,,,,,,,,130.635,2.0,105.747,-1.9,64868.817,0.0,83.039,0.4,108.478,2.4,,,,,,,,
336390 - Other motor vehicle parts,2017,,,,,,,,,,,,,,,,,9742.577,9.1,,,,,,,,,,,,,,,,,,,,,,,,,122.292,-6.4,106.197,0.4,60984.517,-6.0,96.734,16.5,118.299,9.1,,,,,,,,
336390 - Other motor vehicle parts,2018,,,,,,,,,,,,,,,,,10116.388,3.8,,,,,,,,,,,,,,,,,,,,,,,,,124.316,1.7,108.571,2.2,63379.711,3.9,98.810,2.1,122.838,3.8,,,,,,,,
336390 - Other motor vehicle parts,2019,,,,,,,,,,,,,,,,,9957.690,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,118.483,-4.7,108.911,0.3,60595.140,-4.4,102.049,3.3,120.911,-1.6,,,,,,,,
336411 - Aircraft manufacturing,1987,,,,,,,,,,,,,50.148,,152.611,,11762.659,,,,711.416,,,,,,,,,,,,,,,,,,,,,,76.532,,55.498,,39618.794,,91.625,,70.123,,45.949,,48.265,,158.568,,365.500,
336411 - Aircraft manufacturing,1988,,,,,,,,,,,,,51.231,2.2,157.066,2.9,12354.158,5.0,,,732.182,2.9,,,,,,,,,,,,,,,,,,,,,80.467,5.1,56.324,1.5,42275.336,6.7,91.527,-0.1,73.649,5.0,46.890,2.0,49.368,2.3,162.993,2.8,375.700,2.8
336411 - Aircraft manufacturing,1989,,,,,,,,,,,,,51.572,0.7,163.105,3.8,12446.673,0.7,,,760.331,3.8,,,,,,,,,,,,,,,,,,,,,84.117,4.5,59.858,6.3,46965.647,11.1,88.211,-3.6,74.201,0.7,45.493,-3.0,49.601,0.5,169.588,4.0,390.900,4.0
336411 - Aircraft manufacturing,1990,,,,,,,,,,,,,54.775,6.2,162.267,-0.5,14220.869,14.3,,,756.427,-0.5,,,,,,,,,,,,,,,,,,,,,88.881,5.7,62.763,4.9,52034.489,10.8,95.383,8.1,84.778,14.3,52.246,14.8,52.544,5.9,169.154,-0.3,389.900,-0.3
336411 - Aircraft manufacturing,1991,,,,,,,,,,,,,63.559,16.0,149.602,-7.8,13309.517,-6.4,,,697.384,-7.8,,,,,,,,,,,,,,,,,,,,,95.085,7.0,64.867,3.4,57532.543,10.6,83.445,-12.5,79.345,-6.4,53.037,1.5,60.163,14.5,158.048,-6.6,364.300,-6.6
336411 - Aircraft manufacturing,1992,,,,,,,,,,,,,68.665,8.0,139.986,-6.4,14724.353,10.6,,,652.560,-6.4,,,,,,,,,,,,,,,,,,,,,96.122,1.1,66.950,3.2,60027.502,4.3,91.321,9.4,87.779,10.6,62.706,18.2,65.319,8.6,147.158,-6.9,339.200,-6.9
336411 - Aircraft manufacturing,1993,,,,,,,,,,,,,69.367,1.0,125.422,-10.4,13893.314,-5.6,,,584.668,-10.4,,,,,,,,,,,,,,,,,,,,,87.001,-9.5,68.903,2.9,55916.031,-6.8,95.200,4.2,82.825,-5.6,66.037,5.3,65.364,0.1,133.102,-9.6,306.800,-9.6
336411 - Aircraft manufacturing,1994,,,,,,,,,,,,,63.340,-8.7,114.200,-8.9,13283.913,-4.4,,,532.356,-8.9,,,,,,,,,,,,,,,,,,,,,72.334,-16.9,71.135,3.2,47995.966,-14.2,109.481,15.0,79.192,-4.4,69.345,5.0,60.519,-7.4,119.523,-10.2,275.500,-10.2
336411 - Aircraft manufacturing,1995,,,,,,,,,,,,,63.814,0.7,101.561,-11.1,11631.437,-12.4,,,473.440,-11.1,,,,,,,,,,,,,,,,,,,,,64.810,-10.4,73.316,3.1,44322.049,-7.7,106.990,-2.3,69.341,-12.4,68.275,-1.5,59.947,-0.9,108.113,-9.5,249.200,-9.5
336411 - Aircraft manufacturing,1996,,,,,,,,,,,,,69.123,8.3,103.614,2.0,12337.555,6.1,,,483.010,2.0,,,,,,,,,,,,,,,,,,,,,71.621,10.5,74.850,2.1,50004.391,12.8,102.694,-4.0,73.550,6.1,70.985,4.0,66.167,10.4,108.243,0.1,249.500,0.1
336411 - Aircraft manufacturing,1997,,,,,,,,,,,,,67.188,-2.8,118.315,14.2,13368.927,8.4,,,551.537,14.2,,,,,,,,,,,,,,,,,,,,,79.494,11.0,75.784,1.2,56193.798,12.4,100.258,-2.4,79.699,8.4,67.362,-5.1,67.639,2.2,117.527,8.6,270.900,8.6
336411 - Aircraft manufacturing,1998,,,,,,,,,,,,,87.468,30.2,121.355,2.6,14246.073,6.6,,,565.711,2.6,,,,,,,,,,,,,,,,,,,,,106.147,33.5,75.897,0.1,75147.333,33.7,80.009,-20.2,84.928,6.6,69.983,3.9,86.885,28.5,122.169,3.9,281.600,3.9
336411 - Aircraft manufacturing,1999,,,,,,,,,,,,,86.291,-1.3,111.527,-8.1,13379.328,-6.1,,,519.896,-8.1,,,,,,,,,,,,,,,,,,,,,96.238,-9.3,76.748,1.1,68895.626,-8.3,82.879,3.6,79.761,-6.1,71.517,2.2,84.153,-3.1,114.360,-6.4,263.600,-6.4
336411 - Aircraft manufacturing,2000,,,,,,,,,,,,,74.062,-14.2,104.208,-6.6,13054.574,-2.4,,,485.777,-6.6,,,,,,,,,,,,,,,,,,,,,77.178,-19.8,80.079,4.3,57648.781,-16.3,100.838,21.7,77.825,-2.4,74.682,4.4,73.178,-13.0,105.466,-7.8,243.100,-7.8
336411 - Aircraft manufacturing,2001,,,,,,,,,,,,,85.371,15.3,102.066,-2.1,12516.185,-4.1,,,475.791,-2.1,,,,,,,,,,,,,,,,,,,,,87.135,12.9,83.224,3.9,67642.237,17.3,85.632,-15.1,74.615,-4.1,73.105,-2.1,83.235,13.7,104.685,-0.7,241.300,-0.7
336411 - Aircraft manufacturing,2002,,,,,,,,,,,,,87.164,2.1,90.810,-11.0,13208.497,5.5,,,423.321,-11.0,,,,,,,,,,,,,,,,,,,,,79.154,-9.2,84.624,1.7,62480.454,-7.6,99.480,16.2,78.742,5.5,86.711,18.6,82.818,-0.5,95.575,-8.7,220.300,-8.7
